Roll no,Eng,Term1 ,total,perct,Kan,Term1,total,%,Hin,term 1,total,%,Maths,term 1,total,%,EVS,term1,total,%,Comp,term1 ,total,%,Term 1,Term 2,Grand total,Grand%,term1%,term2%
1,92.25,98,190.25,95.125,97.5,96,193.5,96.75,96,97,193,96.5,88,95,183,91.5,95.25,91.5,186.75,93.375,46,24.5,70.5,35.25,502,515,1017,94.60465116,95.61904762,93.63636364
2,60,53,113,56.5,89.25,78,167.25,83.625,80,75.5,155.5,77.75,57,45,102,51,52.5,47,99.5,49.75,24,8.5,32.5,16.25,307,362.75,669.75,62.30232558,58.47619048,65.95454545
3,73.75,83.75,157.5,78.75,81.5,84.75,166.25,83.125,68.5,78,146.5,73.25,76,86.25,162.25,81.125,73.75,65,138.75,69.375,30,16.5,46.5,23.25,414.25,403.5,817.75,76.06976744,78.9047619,73.36363636
4,92.5,98,190.5,95.25,99,94.75,193.75,96.875,98.75,99.5,198.25,99.125,92.75,96.5,189.25,94.625,97.75,96.5,194.25,97.125,47.5,25,72.5,36.25,510.25,528.25,1038.5,96.60465116,97.19047619,96.04545455
5,64.5,68,132.5,66.25,82.25,55.5,137.75,68.875,70.5,58,128.5,64.25,51,44.75,95.75,47.875,61.25,48,109.25,54.625,29.5,8,37.5,18.75,282.25,359,641.25,59.65116279,53.76190476,65.27272727
6,96,97.5,193.5,96.75,99,95.5,194.5,97.25,99.25,99.75,199,99.5,86.5,97.5,184,92,98.5,97.5,196,98,49,25,74,37,512.75,528.25,1041,96.8372093,97.66666667,96.04545455
7,79,83,162,81,87.5,83,170.5,85.25,88,85.5,173.5,86.75,68.25,66.75,135,67.5,84,83,167,83.5,40.5,16,56.5,28.25,417.25,447.25,864.5,80.41860465,79.47619048,81.31818182
8,74.75,75,149.75,74.875,83.5,81.75,165.25,82.625,84.5,75.5,160,80,72.5,58.5,131,65.5,83,75,158,79,39.5,17,56.5,28.25,382.75,437.75,820.5,76.3255814,72.9047619,79.59090909
9,90,92.25,182.25,91.125,99.5,95.75,195.25,97.625,97,98.5,195.5,97.75,74.25,87.5,161.75,80.875,93.5,86.25,179.75,89.875,46,20.5,66.5,33.25,480.75,500.25,981,91.25581395,91.57142857,90.95454545
10,48,28.5,76.5,38.25,42,25,67,33.5,40,23.5,63.5,31.75,42,31.5,73.5,36.75,45,30.5,75.5,37.75,24,7.5,31.5,15.75,146.5,241,387.5,36.04651163,27.9047619,43.81818182
